layer,head,pooled_blk_r,pooled_imp_r,blk_r_p,blk_lo_p,blk_hi_p,blk_r_m,blk_lo_m,blk_hi_m,imp_r_p,imp_r_m,sd_blk_p,sd_blk_m,mu_blk_p,mu_blk_m,pass_blk_010,pass_imp_010,surv_blk_att01,surv_imp_att01
0,17,-0.303809,0.275971,-0.248918,-0.321751,-0.181425,-0.152485,-0.251326,-0.047649,0.037602,0.269176,0.042921,0.042222,0.042274,0.035820,True,False,True,True
1,25,0.123521,0.303676,-0.198229,-0.268315,-0.135022,-0.099558,-0.176373,-0.025282,0.116793,0.284249,0.005753,0.005729,-0.009015,-0.008721,False,False,True,True
28,12,-0.302603,0.013512,-0.374596,-0.471677,-0.273245,-0.117735,-0.269168,0.042126,-0.052403,-0.197488,0.035035,0.032778,0.016777,0.007078,False,False,True,False
16,9,-0.302254,-0.003670,-0.261210,-0.467870,-0.047519,-0.185182,-0.273189,-0.097261,0.130427,-0.261085,0.052287,0.053357,0.027745,0.029104,True,False,True,False
30,4,-0.301911,0.216050,-0.403095,-0.507744,-0.289839,-0.042879,-0.186182,0.090905,0.156998,0.014449,0.017004,0.017146,0.039269,0.039821,False,False,True,True
24,28,0.274612,0.301380,-0.003968,-0.135035,0.110606,0.291024,0.166333,0.407646,0.044385,0.350245,0.027221,0.025740,-0.033315,-0.030746,False,False,True,True
22,20,-0.300767,0.003306,-0.153003,-0.366302,0.022253,-0.217562,-0.320570,-0.114050,0.072708,-0.335585,0.009824,0.011115,0.010023,0.014042,False,False,True,False
3,26,0.226078,0.300496,-0.243252,-0.355526,-0.112819,0.139517,-0.016826,0.276822,-0.017797,0.345727,0.019804,0.019937,-0.096523,-0.096796,False,False,True,True
29,13,0.024296,0.300473,0.055668,-0.114302,0.210754,-0.112081,-0.190902,-0.010763,0.225208,0.156420,0.006399,0.006599,-0.003433,0.000316,False,True,False,True
1,1,0.213500,0.300213,-0.083567,-0.205594,0.024215,0.049473,-0.075254,0.175330,-0.004023,0.349670,0.002882,0.003053,-0.006901,-0.006332,False,False,True,True
3,8,0.234256,0.300107,-0.032263,-0.203001,0.129930,-0.026756,-0.216846,0.135468,-0.000297,0.347904,0.006443,0.006557,-0.054835,-0.055120,False,False,True,True
5,24,-0.299377,-0.186174,-0.366193,-0.465410,-0.248189,-0.045069,-0.198673,0.087612,-0.187234,0.036946,0.049488,0.044746,0.109752,0.104057,False,False,True,True
1,27,0.244927,0.298209,-0.003903,-0.080584,0.084004,0.106196,0.021842,0.184512,0.045924,0.309601,0.002714,0.002749,-0.012060,-0.012113,False,False,True,True
1,16,0.230694,0.297795,-0.046188,-0.150920,0.065139,0.082291,-0.014235,0.173280,-0.031448,0.369908,0.000644,0.000658,-0.001730,-0.001631,False,False,True,True
1,0,0.260824,0.297650,0.072671,-0.051065,0.215366,0.203696,0.085290,0.314428,0.011019,0.344264,0.022700,0.022604,-0.118364,-0.116715,False,False,True,True
18,3,-0.297590,-0.008222,-0.403036,-0.496803,-0.311343,-0.009948,-0.168708,0.137257,-0.090726,0.029289,0.021452,0.023340,0.040653,0.043164,False,False,True,False
4,1,-0.297437,-0.041139,-0.261864,-0.356028,-0.167954,-0.109853,-0.209074,-0.022103,-0.086763,0.180862,0.018536,0.017461,0.029559,0.028950,True,False,True,False
8,24,-0.296877,0.041799,-0.267780,-0.391760,-0.158621,-0.152397,-0.268448,-0.042888,-0.169284,-0.077609,0.094499,0.094036,0.063068,0.053090,True,False,True,False
7,2,0.296849,0.264214,0.215801,0.104626,0.340191,0.232579,0.116829,0.337776,0.066090,0.165211,0.033406,0.034935,-0.100817,-0.099740,True,False,True,True
0,8,-0.285436,0.296599,-0.338066,-0.425896,-0.250508,-0.023622,-0.101670,0.059169,0.047095,0.280755,0.042207,0.042721,0.052093,0.026546,False,False,True,True
1,10,0.240773,0.296498,-0.025246,-0.114564,0.063026,0.098619,-0.001230,0.200612,0.048698,0.301298,0.011431,0.014111,-0.337685,-0.339851,False,False,True,True
24,15,0.266486,0.296350,0.244892,0.107820,0.385447,-0.000485,-0.136482,0.131819,0.114058,0.255366,0.010976,0.009882,-0.018640,-0.016975,False,True,True,True
29,12,-0.001164,0.295910,0.150421,0.051121,0.246428,-0.257344,-0.369482,-0.118527,0.197339,0.188996,0.005913,0.004810,-0.002575,0.000816,False,True,False,True
13,31,-0.295459,-0.014967,-0.247497,-0.377617,-0.101427,-0.120707,-0.230595,-0.015738,-0.229865,-0.068411,0.088978,0.089603,0.106325,0.094879,True,False,True,False
